scenario_id,trial_number,fund_a,fund_b
e25b48e9-4356-4c4c-8b05-94132af9dac1,1,48,51
e25b48e9-4356-4c4c-8b05-94132af9dac1,2,44,55
e25b48e9-4356-4c4c-8b05-94132af9dac1,3,42,57
e25b48e9-4356-4c4c-8b05-94132af9dac1,4,38,61
e25b48e9-4356-4c4c-8b05-94132af9dac1,5,31,68
e25b48e9-4356-4c4c-8b05-94132af9dac1,6,31,68
e25b48e9-4356-4c4c-8b05-94132af9dac1,7,28,71
e25b48e9-4356-4c4c-8b05-94132af9dac1,8,31,68
e25b48e9-4356-4c4c-8b05-94132af9dac1,9,30,69
e25b48e9-4356-4c4c-8b05-94132af9dac1,10,30,69
e25b48e9-4356-4c4c-8b05-94132af9dac1,11,30,69
e25b48e9-4356-4c4c-8b05-94132af9dac1,12,30,69
e25b48e9-4356-4c4c-8b05-94132af9dac1,13,30,69
e25b48e9-4356-4c4c-8b05-94132af9dac1,14,31,68
e25b48e9-4356-4c4c-8b05-94132af9dac1,15,31,68
e25b48e9-4356-4c4c-8b05-94132af9dac1,16,32,67
e25b48e9-4356-4c4c-8b05-94132af9dac1,17,32,67
e25b48e9-4356-4c4c-8b05-94132af9dac1,18,31,68
e25b48e9-4356-4c4c-8b05-94132af9dac1,19,35,64
e25b48e9-4356-4c4c-8b05-94132af9dac1,20,34,65
e25b48e9-4356-4c4c-8b05-94132af9dac1,21,32,67
e25b48e9-4356-4c4c-8b05-94132af9dac1,22,32,67
e25b48e9-4356-4c4c-8b05-94132af9dac1,23,32,67
e25b48e9-4356-4c4c-8b05-94132af9dac1,24,32,67
e25b48e9-4356-4c4c-8b05-94132af9dac1,25,32,67
e25b48e9-4356-4c4c-8b05-94132af9dac1,26,32,67
e25b48e9-4356-4c4c-8b05-94132af9dac1,27,33,66
e25b48e9-4356-4c4c-8b05-94132af9dac1,28,32,67
e25b48e9-4356-4c4c-8b05-94132af9dac1,29,32,67
e25b48e9-4356-4c4c-8b05-94132af9dac1,30,32,67
e25b48e9-4356-4c4c-8b05-94132af9dac1,31,34,65
e25b48e9-4356-4c4c-8b05-94132af9dac1,32,32,67
e25b48e9-4356-4c4c-8b05-94132af9dac1,33,33,66
e25b48e9-4356-4c4c-8b05-94132af9dac1,34,33,66
e25b48e9-4356-4c4c-8b05-94132af9dac1,35,33,66
e25b48e9-4356-4c4c-8b05-94132af9dac1,36,32,67
e25b48e9-4356-4c4c-8b05-94132af9dac1,37,33,66
e25b48e9-4356-4c4c-8b05-94132af9dac1,38,32,67
e25b48e9-4356-4c4c-8b05-94132af9dac1,39,33,66
e25b48e9-4356-4c4c-8b05-94132af9dac1,40,32,67
e25b48e9-4356-4c4c-8b05-94132af9dac1,41,33,66
e25b48e9-4356-4c4c-8b05-94132af9dac1,42,33,66
e25b48e9-4356-4c4c-8b05-94132af9dac1,43,33,66
e25b48e9-4356-4c4c-8b05-94132af9dac1,44,33,66
e25b48e9-4356-4c4c-8b05-94132af9dac1,45,34,65
e25b48e9-4356-4c4c-8b05-94132af9dac1,46,33,66
e25b48e9-4356-4c4c-8b05-94132af9dac1,47,33,66
e25b48e9-4356-4c4c-8b05-94132af9dac1,48,32,67
e25b48e9-4356-4c4c-8b05-94132af9dac1,49,32,67
e25b48e9-4356-4c4c-8b05-94132af9dac1,50,32,67
e25b48e9-4356-4c4c-8b05-94132af9dac1,51,33,66
e25b48e9-4356-4c4c-8b05-94132af9dac1,52,33,66
e25b48e9-4356-4c4c-8b05-94132af9dac1,53,33,66
e25b48e9-4356-4c4c-8b05-94132af9dac1,54,33,66
e25b48e9-4356-4c4c-8b05-94132af9dac1,55,33,66
e25b48e9-4356-4c4c-8b05-94132af9dac1,56,32,67
e25b48e9-4356-4c4c-8b05-94132af9dac1,57,33,66
e25b48e9-4356-4c4c-8b05-94132af9dac1,58,33,66
e25b48e9-4356-4c4c-8b05-94132af9dac1,59,33,66
e25b48e9-4356-4c4c-8b05-94132af9dac1,60,33,66
e25b48e9-4356-4c4c-8b05-94132af9dac1,61,34,65
e25b48e9-4356-4c4c-8b05-94132af9dac1,62,33,66
e25b48e9-4356-4c4c-8b05-94132af9dac1,63,33,66
e25b48e9-4356-4c4c-8b05-94132af9dac1,64,33,66
e25b48e9-4356-4c4c-8b05-94132af9dac1,65,34,65
e25b48e9-4356-4c4c-8b05-94132af9dac1,66,34,65
e25b48e9-4356-4c4c-8b05-94132af9dac1,67,35,64
e25b48e9-4356-4c4c-8b05-94132af9dac1,68,34,65
e25b48e9-4356-4c4c-8b05-94132af9dac1,69,35,64
e25b48e9-4356-4c4c-8b05-94132af9dac1,70,35,64
e25b48e9-4356-4c4c-8b05-94132af9dac1,71,37,62
e25b48e9-4356-4c4c-8b05-94132af9dac1,72,39,60
e25b48e9-4356-4c4c-8b05-94132af9dac1,73,36,63
e25b48e9-4356-4c4c-8b05-94132af9dac1,74,41,58
e25b48e9-4356-4c4c-8b05-94132af9dac1,75,37,62
e25b48e9-4356-4c4c-8b05-94132af9dac1,76,41,58
e25b48e9-4356-4c4c-8b05-94132af9dac1,77,39,60
e25b48e9-4356-4c4c-8b05-94132af9dac1,78,40,59
e25b48e9-4356-4c4c-8b05-94132af9dac1,79,38,61
e25b48e9-4356-4c4c-8b05-94132af9dac1,80,35,64
e25b48e9-4356-4c4c-8b05-94132af9dac1,81,36,63
e25b48e9-4356-4c4c-8b05-94132af9dac1,82,36,63
e25b48e9-4356-4c4c-8b05-94132af9dac1,83,36,63
e25b48e9-4356-4c4c-8b05-94132af9dac1,84,24,75
e25b48e9-4356-4c4c-8b05-94132af9dac1,85,30,69
e25b48e9-4356-4c4c-8b05-94132af9dac1,86,27,72
e25b48e9-4356-4c4c-8b05-94132af9dac1,87,31,68
e25b48e9-4356-4c4c-8b05-94132af9dac1,88,41,58
e25b48e9-4356-4c4c-8b05-94132af9dac1,89,42,57
e25b48e9-4356-4c4c-8b05-94132af9dac1,90,45,54
e25b48e9-4356-4c4c-8b05-94132af9dac1,91,39,60
e25b48e9-4356-4c4c-8b05-94132af9dac1,92,41,58
e25b48e9-4356-4c4c-8b05-94132af9dac1,93,40,59
e25b48e9-4356-4c4c-8b05-94132af9dac1,94,40,59
e25b48e9-4356-4c4c-8b05-94132af9dac1,95,42,57
e25b48e9-4356-4c4c-8b05-94132af9dac1,96,41,58
e25b48e9-4356-4c4c-8b05-94132af9dac1,97,42,57
e25b48e9-4356-4c4c-8b05-94132af9dac1,98,44,55
e25b48e9-4356-4c4c-8b05-94132af9dac1,99,46,53
e25b48e9-4356-4c4c-8b05-94132af9dac1,100,47,52
e25b48e9-4356-4c4c-8b05-94132af9dac1,101,52,47
e25b48e9-4356-4c4c-8b05-94132af9dac1,102,52,47
e25b48e9-4356-4c4c-8b05-94132af9dac1,103,59,40
e25b48e9-4356-4c4c-8b05-94132af9dac1,104,62,37
e25b48e9-4356-4c4c-8b05-94132af9dac1,105,56,43
e25b48e9-4356-4c4c-8b05-94132af9dac1,106,68,31
e25b48e9-4356-4c4c-8b05-94132af9dac1,107,69,30
e25b48e9-4356-4c4c-8b05-94132af9dac1,108,70,29
e25b48e9-4356-4c4c-8b05-94132af9dac1,109,66,33
e25b48e9-4356-4c4c-8b05-94132af9dac1,110,68,31
e25b48e9-4356-4c4c-8b05-94132af9dac1,111,67,32
e25b48e9-4356-4c4c-8b05-94132af9dac1,112,67,32
e25b48e9-4356-4c4c-8b05-94132af9dac1,113,73,26
e25b48e9-4356-4c4c-8b05-94132af9dac1,114,73,26
e25b48e9-4356-4c4c-8b05-94132af9dac1,115,67,32
e25b48e9-4356-4c4c-8b05-94132af9dac1,116,69,30
e25b48e9-4356-4c4c-8b05-94132af9dac1,117,70,29
e25b48e9-4356-4c4c-8b05-94132af9dac1,118,75,24
e25b48e9-4356-4c4c-8b05-94132af9dac1,119,75,24
e25b48e9-4356-4c4c-8b05-94132af9dac1,120,57,42
e25b48e9-4356-4c4c-8b05-94132af9dac1,121,55,44
e25b48e9-4356-4c4c-8b05-94132af9dac1,122,56,43
e25b48e9-4356-4c4c-8b05-94132af9dac1,123,53,46
e25b48e9-4356-4c4c-8b05-94132af9dac1,124,52,47
e25b48e9-4356-4c4c-8b05-94132af9dac1,125,55,44
e25b48e9-4356-4c4c-8b05-94132af9dac1,126,54,45
e25b48e9-4356-4c4c-8b05-94132af9dac1,127,49,50
e25b48e9-4356-4c4c-8b05-94132af9dac1,128,54,45
e25b48e9-4356-4c4c-8b05-94132af9dac1,129,48,51
e25b48e9-4356-4c4c-8b05-94132af9dac1,130,54,45
e25b48e9-4356-4c4c-8b05-94132af9dac1,131,36,63
e25b48e9-4356-4c4c-8b05-94132af9dac1,132,37,62
e25b48e9-4356-4c4c-8b05-94132af9dac1,133,36,63
e25b48e9-4356-4c4c-8b05-94132af9dac1,134,35,64
e25b48e9-4356-4c4c-8b05-94132af9dac1,135,36,63
e25b48e9-4356-4c4c-8b05-94132af9dac1,136,35,64
e25b48e9-4356-4c4c-8b05-94132af9dac1,137,40,59
e25b48e9-4356-4c4c-8b05-94132af9dac1,138,39,60
e25b48e9-4356-4c4c-8b05-94132af9dac1,139,39,60
e25b48e9-4356-4c4c-8b05-94132af9dac1,140,39,60
e25b48e9-4356-4c4c-8b05-94132af9dac1,141,36,63
e25b48e9-4356-4c4c-8b05-94132af9dac1,142,32,67
e25b48e9-4356-4c4c-8b05-94132af9dac1,143,29,70
e25b48e9-4356-4c4c-8b05-94132af9dac1,144,21,78
e25b48e9-4356-4c4c-8b05-94132af9dac1,145,21,78
e25b48e9-4356-4c4c-8b05-94132af9dac1,146,28,71
