scenario_id,recommendation_id,trial_number,fund_a,fund_b
e25b48e9-4356-4c4c-8b05-94132af9dac1,b1edeadf-5a71-412e-a352-5f593bf09ea4,1,49,51
e25b48e9-4356-4c4c-8b05-94132af9dac1,2127784b-124d-4909-8e13-759282fb6d92,2,45,55
e25b48e9-4356-4c4c-8b05-94132af9dac1,07b6f9f1-1b42-49de-88e2-813863797e2a,3,43,57
e25b48e9-4356-4c4c-8b05-94132af9dac1,8b6a4308-12cd-4097-8c83-fc147d91446f,4,39,61
e25b48e9-4356-4c4c-8b05-94132af9dac1,3e442ef8-4318-432a-aeaf-fb0a8db49e17,5,32,68
e25b48e9-4356-4c4c-8b05-94132af9dac1,6c39a646-24a3-44c8-9501-9027ab7224fc,6,32,68
e25b48e9-4356-4c4c-8b05-94132af9dac1,adedba9b-f233-4707-9d86-f1bf89914448,7,29,71
e25b48e9-4356-4c4c-8b05-94132af9dac1,fc50b37f-c5da-4d98-be98-156848bc0137,8,32,68
e25b48e9-4356-4c4c-8b05-94132af9dac1,fc39ab81-7a63-4335-9fba-532e12dcef9d,9,31,69
e25b48e9-4356-4c4c-8b05-94132af9dac1,223d2c76-4b3e-497a-95af-3fd75ed43ef6,10,31,69
e25b48e9-4356-4c4c-8b05-94132af9dac1,66f54361-4dea-42ac-8366-d0ce2218249e,11,31,69
e25b48e9-4356-4c4c-8b05-94132af9dac1,3d40e4e2-f2aa-4d1e-abe0-9f1f14aa5863,12,31,69
e25b48e9-4356-4c4c-8b05-94132af9dac1,f0b7f423-d2ed-41e3-9e86-9eb80337652a,13,31,69
e25b48e9-4356-4c4c-8b05-94132af9dac1,90f3cc2f-6f87-4b1d-957b-be78bb147897,14,32,68
e25b48e9-4356-4c4c-8b05-94132af9dac1,518cf135-40e3-4b25-b93f-dcae420b530d,15,32,68
e25b48e9-4356-4c4c-8b05-94132af9dac1,2b1d05ae-e0fc-4287-99ca-e845b3427275,16,33,67
e25b48e9-4356-4c4c-8b05-94132af9dac1,4f477731-364a-4241-9220-c3007bc8dac9,17,33,67
e25b48e9-4356-4c4c-8b05-94132af9dac1,4c0ecb0d-dff6-45d3-8a6e-bc550615238c,18,32,68
e25b48e9-4356-4c4c-8b05-94132af9dac1,4564c5a6-22a9-4d29-bc3d-25fb87287834,19,36,64
e25b48e9-4356-4c4c-8b05-94132af9dac1,a1c20324-23dc-4524-9160-2e041ece5f5c,20,35,65
