scenario_id,recommendation_id,trial_number,fund_a,fund_b
b8426ff5-c6f2-4f25-a259-764e993ffa29,059b4f47-c651-4144-b38e-e436bae23c37,1,53,47
b8426ff5-c6f2-4f25-a259-764e993ffa29,d8f7f468-3b66-4c41-b011-d115ade6a085,2,62,38
b8426ff5-c6f2-4f25-a259-764e993ffa29,6b3f0ae9-889e-41a0-9313-74ff5d4230dc,3,64,36
b8426ff5-c6f2-4f25-a259-764e993ffa29,7692fa5a-36bd-42de-942e-ef91ca0487d9,4,61,39
b8426ff5-c6f2-4f25-a259-764e993ffa29,1c6607b8-f0ac-4142-ba71-13d77f5fb2b9,5,61,39
b8426ff5-c6f2-4f25-a259-764e993ffa29,ca3e8fd4-862c-4272-aa98-a7b8aaeb0761,6,60,40
b8426ff5-c6f2-4f25-a259-764e993ffa29,d903ce28-447f-4862-a8a5-1aa67dd9aa37,7,61,39
b8426ff5-c6f2-4f25-a259-764e993ffa29,f4cc6314-9a1e-47eb-ba4e-38e7bdbe587b,8,56,44
b8426ff5-c6f2-4f25-a259-764e993ffa29,2684b650-3825-44fe-a7fa-7860c385ac4d,9,65,35
b8426ff5-c6f2-4f25-a259-764e993ffa29,6c03916b-59ff-4be0-8680-2f4cb48f6db8,10,60,40
b8426ff5-c6f2-4f25-a259-764e993ffa29,ff5d4678-0295-4f25-82c4-96c587f09a69,11,69,31
b8426ff5-c6f2-4f25-a259-764e993ffa29,d6e49283-47c5-425a-806a-6d6710feb12b,12,68,32
b8426ff5-c6f2-4f25-a259-764e993ffa29,1e7a346c-0a8a-44a1-8879-002c113c4982,13,75,25
b8426ff5-c6f2-4f25-a259-764e993ffa29,2e72449f-ef00-4287-a541-5dfbc71a8cec,14,57,43
b8426ff5-c6f2-4f25-a259-764e993ffa29,b66e0524-fc25-4b7f-a3d9-132af696dc3e,15,57,43
b8426ff5-c6f2-4f25-a259-764e993ffa29,e01b5d83-1870-4374-a89f-6f65e3945849,16,55,45
b8426ff5-c6f2-4f25-a259-764e993ffa29,e908aa85-6706-4090-abc8-fe779281426d,17,70,30
b8426ff5-c6f2-4f25-a259-764e993ffa29,61e6250f-7341-4867-808c-5e8780501842,18,67,33
b8426ff5-c6f2-4f25-a259-764e993ffa29,c1e15c88-51bc-4477-894d-8352872a4a6d,19,40,60
b8426ff5-c6f2-4f25-a259-764e993ffa29,5db3edae-0c2d-4b2c-88b4-2df2514c7e1a,20,39,61
b8426ff5-c6f2-4f25-a259-764e993ffa29,4daaed46-bc50-4f1e-96dd-15a00c1169f7,21,74,26
b8426ff5-c6f2-4f25-a259-764e993ffa29,c183296f-8138-4ca0-babe-f66620f387f2,22,77,23
b8426ff5-c6f2-4f25-a259-764e993ffa29,3b455c75-bc5c-41cc-b8c2-22870386e095,23,77,23
b8426ff5-c6f2-4f25-a259-764e993ffa29,61a15fbf-62bc-455e-9f10-9ac0d48d0010,24,69,31
b8426ff5-c6f2-4f25-a259-764e993ffa29,4f5e5fd8-6ea3-4ba0-ae92-50e4fa7be7c5,25,77,23
b8426ff5-c6f2-4f25-a259-764e993ffa29,8092fe0a-8bf9-482a-aee4-219e2659375f,26,66,34
b8426ff5-c6f2-4f25-a259-764e993ffa29,47fa7b04-9b86-46d4-90e1-1ea70aeab34d,27,61,39
b8426ff5-c6f2-4f25-a259-764e993ffa29,d3df68e0-b70a-42ba-8bc1-496b3f6c4f0c,28,72,28
b8426ff5-c6f2-4f25-a259-764e993ffa29,138fe230-be80-4e57-9734-564ccc6751f8,29,78,22
b8426ff5-c6f2-4f25-a259-764e993ffa29,69627288-77f7-4551-ad3f-53ab191714f0,30,78,22
b8426ff5-c6f2-4f25-a259-764e993ffa29,2a179815-dd31-4feb-879b-7543a27120ae,31,79,21
b8426ff5-c6f2-4f25-a259-764e993ffa29,10f47d94-6df0-4172-9387-0a6c94541f08,32,59,41
b8426ff5-c6f2-4f25-a259-764e993ffa29,fc764795-7585-4b13-9cbf-1d4c4edcac8d,33,79,21
b8426ff5-c6f2-4f25-a259-764e993ffa29,d7749ef6-77e0-4168-8fcb-aed73a1bd78f,34,59,41
b8426ff5-c6f2-4f25-a259-764e993ffa29,cd58a4b6-bd19-4e2f-b4bf-2f332a9e1a38,35,74,26
