scenario_id,recommendation_id,trial_number,fund_a,fund_b
2e1e164a-699c-4c00-acff-61a98e23ddec,2f2073bd-b693-4890-81e4-35cdf66717c9,1,32,68
2e1e164a-699c-4c00-acff-61a98e23ddec,028c2893-aa6e-45d0-92f7-6d71c79379c1,2,54,46
2e1e164a-699c-4c00-acff-61a98e23ddec,fe5cd091-c157-493f-bed8-4eec6bef72d9,3,59,41
2e1e164a-699c-4c00-acff-61a98e23ddec,b7664c0b-3472-4c64-9b9e-1e3f7cd260f1,4,57,43
2e1e164a-699c-4c00-acff-61a98e23ddec,1f34baf4-a7d9-4e6f-936d-4b3a1eefbe9d,5,57,43
2e1e164a-699c-4c00-acff-61a98e23ddec,b50402d3-556f-4542-aab1-a03a01e88aab,6,57,43
2e1e164a-699c-4c00-acff-61a98e23ddec,115d450f-1667-4340-a70e-ed17f1c90eda,7,57,43
2e1e164a-699c-4c00-acff-61a98e23ddec,2f0f1ff6-d70f-4918-8ff9-ca92a5f822fc,8,54,46
2e1e164a-699c-4c00-acff-61a98e23ddec,aaf15f9d-aca9-4320-bbac-f8fd95bbcdc6,9,60,40
2e1e164a-699c-4c00-acff-61a98e23ddec,bbddc376-63a8-40f0-886a-45f3998a6818,10,54,46
2e1e164a-699c-4c00-acff-61a98e23ddec,3f074f71-efa3-45c0-b238-b13eb6bc3866,11,63,37
2e1e164a-699c-4c00-acff-61a98e23ddec,c498e953-b700-4df7-89d1-c60a07123304,12,55,45
2e1e164a-699c-4c00-acff-61a98e23ddec,71144c32-7ff3-4ab7-97dd-0a386d6e0f81,13,64,36
2e1e164a-699c-4c00-acff-61a98e23ddec,09d8fc74-4b7a-48d9-860e-bf877d4c421d,14,43,57
2e1e164a-699c-4c00-acff-61a98e23ddec,a49de736-2c7c-4a6e-b8ed-8f798834f496,15,44,56
2e1e164a-699c-4c00-acff-61a98e23ddec,3acb14c5-f56e-4314-9556-95497dbe1589,16,43,57
2e1e164a-699c-4c00-acff-61a98e23ddec,04e29a40-b95f-4b3b-b4a2-c3c650fb8c61,17,55,45
2e1e164a-699c-4c00-acff-61a98e23ddec,8206b3e2-a32f-451a-9fb1-d81464f50047,18,50,50
2e1e164a-699c-4c00-acff-61a98e23ddec,fdbe7133-3567-46b5-b215-471e34a847bf,19,40,60
2e1e164a-699c-4c00-acff-61a98e23ddec,afeab8d0-2e65-404b-9ec3-beb868a11833,20,30,70
2e1e164a-699c-4c00-acff-61a98e23ddec,cbfcb6a3-c838-48b5-83eb-2f48daf64d2d,21,56,44
2e1e164a-699c-4c00-acff-61a98e23ddec,719a5be7-01b3-430d-a1b2-624fc76d6c90,22,54,46
2e1e164a-699c-4c00-acff-61a98e23ddec,89e30c73-97ca-4c4c-bbb8-29d671c54b71,23,59,41
2e1e164a-699c-4c00-acff-61a98e23ddec,ee27ae0b-a6c1-4b99-91cf-62c34b2933c1,24,47,53
2e1e164a-699c-4c00-acff-61a98e23ddec,7529fb93-cff5-4935-a70c-d275bc123ed8,25,54,46
2e1e164a-699c-4c00-acff-61a98e23ddec,8f2131cf-708f-48fb-9e84-0ed64b9f3a36,26,40,60
2e1e164a-699c-4c00-acff-61a98e23ddec,54f4caf1-3403-404b-9790-1c281f5c6e2c,27,32,68
2e1e164a-699c-4c00-acff-61a98e23ddec,33420d38-243c-4faa-9afc-357e4a9d6c1e,28,49,51
2e1e164a-699c-4c00-acff-61a98e23ddec,b6f61614-7086-413a-963f-af9e49c81f6f,29,61,39
2e1e164a-699c-4c00-acff-61a98e23ddec,d28d5109-1347-4647-962f-4071ceba0b5e,30,60,40
2e1e164a-699c-4c00-acff-61a98e23ddec,17ff439b-2dfc-4121-8818-afa8da909bc5,31,66,34
2e1e164a-699c-4c00-acff-61a98e23ddec,f067bc60-ae38-45ae-8037-09dd1ba169ae,32,37,63
2e1e164a-699c-4c00-acff-61a98e23ddec,f1e94336-1bec-4554-8e04-711a95e12842,33,64,36
2e1e164a-699c-4c00-acff-61a98e23ddec,8b30b20b-0c08-4c53-8e4d-d90f21775cd4,34,31,69
2e1e164a-699c-4c00-acff-61a98e23ddec,ea0d87e8-21f1-4dfc-92d1-ebd05d3ef7ab,35,56,44
2e1e164a-699c-4c00-acff-61a98e23ddec,5c1b65f1-1942-48c6-ba80-3f162efe90fe,36,59,41
2e1e164a-699c-4c00-acff-61a98e23ddec,50679011-ed03-4bd5-ae95-f00b5aec4004,37,62,38
2e1e164a-699c-4c00-acff-61a98e23ddec,2a8f4416-c771-437d-a1fa-dd84cc30f4d6,38,64,36
2e1e164a-699c-4c00-acff-61a98e23ddec,239835d1-a596-4862-a371-af28a0eab211,39,63,37
2e1e164a-699c-4c00-acff-61a98e23ddec,d22c9418-2347-4f0b-82ad-5699c1bb7e31,40,55,45
2e1e164a-699c-4c00-acff-61a98e23ddec,29f36109-cfab-412b-9942-bf472e00bd2b,41,38,62
2e1e164a-699c-4c00-acff-61a98e23ddec,5e37d489-f641-40d0-8e30-14dfae14d946,42,57,43
2e1e164a-699c-4c00-acff-61a98e23ddec,45449f9f-2a17-45ad-a6d1-8f484d1b95d1,43,31,69
2e1e164a-699c-4c00-acff-61a98e23ddec,2e990c60-918a-4d62-aaa8-b2e88021301f,44,26,74
2e1e164a-699c-4c00-acff-61a98e23ddec,6dd96e60-3f4a-443f-9957-a9fc31d1d9fc,45,31,69
2e1e164a-699c-4c00-acff-61a98e23ddec,e2514328-0d32-4d3f-b717-0211b7897844,46,43,57
2e1e164a-699c-4c00-acff-61a98e23ddec,cd90d134-02c9-41b9-a62c-c211b8d63e51,47,60,40
2e1e164a-699c-4c00-acff-61a98e23ddec,0af9dc95-39ee-4264-9c9f-efcc165cabba,48,65,35
2e1e164a-699c-4c00-acff-61a98e23ddec,d1cca075-9fbc-4f2b-9c9e-99d031608dca,49,65,35
2e1e164a-699c-4c00-acff-61a98e23ddec,7f2fd039-7b52-4969-a91a-aa7a4f0c31b7,50,38,62
2e1e164a-699c-4c00-acff-61a98e23ddec,5b018ea0-7214-4f72-a036-fb13c9f55492,51,58,42
2e1e164a-699c-4c00-acff-61a98e23ddec,9d366ee9-8ef9-4b15-ae58-63e58b365c8b,52,59,41
2e1e164a-699c-4c00-acff-61a98e23ddec,eb66c0e2-0c8c-4001-8186-92f2d70f2c64,53,38,62
2e1e164a-699c-4c00-acff-61a98e23ddec,2604a381-4b1a-4e03-a96d-4f93b04dda99,54,61,39
2e1e164a-699c-4c00-acff-61a98e23ddec,80727888-f461-48ea-995e-e97c17939ee6,55,34,66
2e1e164a-699c-4c00-acff-61a98e23ddec,67c777db-6ddb-4f07-8bec-9ced26d0fa82,56,34,66
2e1e164a-699c-4c00-acff-61a98e23ddec,98f149cb-5849-40d1-a6c4-a263247b19d3,57,34,66
2e1e164a-699c-4c00-acff-61a98e23ddec,c5137de2-ba21-4fdb-a7ab-1c036826d986,58,41,59
2e1e164a-699c-4c00-acff-61a98e23ddec,201c87b8-0371-4c1b-898f-ef31d4e50ad9,59,48,52
2e1e164a-699c-4c00-acff-61a98e23ddec,cd7055ef-5864-43bf-95e9-30fca3fdbde3,60,55,45
