scenario_id,recommendation_id,trial_number,fund_a,fund_b
2e1e164a-699c-4c00-acff-61a98e23ddec,22e58e53-2395-49d2-9b98-8aa7d260020d,1,66,34
2e1e164a-699c-4c00-acff-61a98e23ddec,91c22641-f980-46c5-acea-53b4892b6094,2,82,18
2e1e164a-699c-4c00-acff-61a98e23ddec,9ed74ff5-cf96-4eba-bb8b-7fe1a8972390,3,27,73
2e1e164a-699c-4c00-acff-61a98e23ddec,42028343-b897-49fd-9e39-b5ed059e3461,4,27,73
2e1e164a-699c-4c00-acff-61a98e23ddec,620c446c-d90a-4d5d-a811-5a8a2038e8e0,5,33,67
2e1e164a-699c-4c00-acff-61a98e23ddec,23e95aeb-3055-4410-9663-6b7c6c13f8d8,6,26,74
2e1e164a-699c-4c00-acff-61a98e23ddec,b0a09889-de1c-4549-b0eb-718abb1ce025,7,27,73
2e1e164a-699c-4c00-acff-61a98e23ddec,f6dcd342-8927-4d7e-836e-6cb80b21b92b,8,12,88
2e1e164a-699c-4c00-acff-61a98e23ddec,8d0e958e-e115-482d-87fb-50cedeaaeb5b,9,13,87
2e1e164a-699c-4c00-acff-61a98e23ddec,9a3be03c-9a65-4e12-9739-86ce0f980d49,10,29,71
2e1e164a-699c-4c00-acff-61a98e23ddec,57b9e40f-d8cd-45f1-97fa-d5f7f97e309e,11,1,99
2e1e164a-699c-4c00-acff-61a98e23ddec,6c6ec0e4-355b-4e81-905b-998eed70444f,12,2,98
2e1e164a-699c-4c00-acff-61a98e23ddec,78cbb99b-5e8f-4d84-a129-f511348e2355,13,10,90
2e1e164a-699c-4c00-acff-61a98e23ddec,a40023c4-506f-4e72-a599-634e6616fc96,14,5,95
2e1e164a-699c-4c00-acff-61a98e23ddec,162d11fc-81ad-4466-ab2f-37cd39be73e7,15,7,93
2e1e164a-699c-4c00-acff-61a98e23ddec,48d53cf7-dd1c-4035-a6b8-96ec0604392f,16,19,81
2e1e164a-699c-4c00-acff-61a98e23ddec,be25f247-f1a3-410f-9ebf-d3e8ff1cc6b1,17,74,26
2e1e164a-699c-4c00-acff-61a98e23ddec,0e76362b-3d5a-4920-a799-2ff9d47c1b87,18,65,35
2e1e164a-699c-4c00-acff-61a98e23ddec,7594b79f-048c-4fe2-ba42-4fb12f3cc108,19,32,68
