caldt,spindx,sprtrn
1925-12-31,12.46,
1926-01-30,12.74,0.022472
1926-02-27,12.18,-0.043956
1926-03-31,11.46,-0.059113
1926-04-30,11.72,0.022688
1926-05-28,11.81,0.007679
1926-06-30,12.32,0.043184
1926-07-31,12.88,0.045455
1926-08-31,13.10,0.017081
1926-09-30,13.40,0.022901
1926-10-30,12.98,-0.031343
1926-11-30,13.27,0.022342
1926-12-31,13.49,0.016579
1927-01-31,13.21,-0.020756
1927-02-28,13.84,0.047691
1927-03-31,13.93,0.006503
1927-04-30,14.17,0.017229
1927-05-31,14.91,0.052223
1927-06-30,14.77,-0.009390
1927-07-30,15.73,0.064997
1927-08-31,16.43,0.044501
1927-09-30,17.14,0.043214
1927-10-31,16.23,-0.053092
1927-11-30,17.33,0.067776
1927-12-31,17.66,0.019042
1928-01-31,17.57,-0.005096
1928-02-29,17.26,-0.017644
1928-03-31,19.13,0.108343
1928-04-30,19.75,0.032410
1928-05-31,20.00,0.012658
1928-06-30,19.19,-0.040500
1928-07-31,19.43,0.012507
1928-08-31,20.87,0.074112
1928-09-29,21.37,0.023958
1928-10-31,21.68,0.014506
1928-11-30,24.28,0.119926
1928-12-31,24.35,0.002883
1929-01-31,25.74,0.057084
1929-02-28,25.59,-0.005828
1929-03-28,25.53,-0.002345
1929-04-30,25.94,0.016060
1929-05-31,24.83,-0.042791
1929-06-29,27.62,0.112364
1929-07-31,28.88,0.045619
1929-08-30,31.71,0.097992
1929-09-30,30.16,-0.048880
1929-10-31,24.15,-0.199271
1929-11-27,20.92,-0.133747
1929-12-31,21.45,0.025335
1930-01-31,22.79,0.062471
1930-02-28,23.28,0.021501
1930-03-31,25.14,0.079897
1930-04-30,24.90,-0.009547
1930-05-29,24.49,-0.016466
1930-06-30,20.46,-0.164557
1930-07-31,21.21,0.036657
1930-08-29,21.37,0.007544
1930-09-30,18.59,-0.130089
1930-10-31,16.94,-0.088757
1930-11-29,16.57,-0.021842
1930-12-31,15.34,-0.074231
1931-01-31,16.09,0.048892
1931-02-28,17.93,0.114357
1931-03-31,16.69,-0.069158
1931-04-30,15.09,-0.095866
1931-05-29,13.02,-0.137177
1931-06-30,14.83,0.139017
1931-07-31,13.73,-0.074174
1931-08-31,13.86,0.009468
1931-09-30,9.71,-0.299423
1931-10-31,10.53,0.084449
1931-11-30,9.50,-0.097816
1931-12-31,8.12,-0.145263
1932-01-30,7.89,-0.028325
1932-02-29,8.29,0.050697
1932-03-31,7.31,-0.118215
1932-04-30,5.83,-0.202462
1932-05-31,4.47,-0.233276
1932-06-30,4.43,-0.008949
1932-07-30,6.10,0.376975
1932-08-31,8.39,0.375410
1932-09-30,8.08,-0.036949
1932-10-31,6.96,-0.138614
1932-11-30,6.55,-0.058908
1932-12-31,6.89,0.051908
1933-01-31,6.94,0.007257
1933-02-28,5.66,-0.184438
1933-03-31,5.85,0.033569
1933-04-29,8.32,0.422222
1933-05-31,9.64,0.158654
1933-06-30,10.91,0.131743
1933-07-31,9.95,-0.087993
1933-08-31,11.09,0.114573
1933-09-30,9.83,-0.113616
1933-10-31,8.96,-0.088505
1933-11-29,9.88,0.102679
1933-12-30,10.10,0.022267
1934-01-31,11.17,0.105941
